Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Avg_Residancy_Altitude,Will_vote_only_large_party,Financial_agenda_matters,Most_Important_Issue_0.0,Most_Important_Issue_3.0,Most_Important_Issue_5.0,Most_Important_Issue_6.0,Vote
0.434784954283,0.0230807517164,1.6183621098,1.39752131282,1,-1,1.0,0.0,0.0,0.0,9
-0.601647902783,0.575029800438,1.34367206221,-0.823795745464,1,-1,1.0,0.0,0.0,0.0,7
1.2066353656,1.54550690032,1.01240260497,-0.104320277057,1,1,0.0,1.0,0.0,0.0,8
-0.647607749814,-0.357310693603,-0.813797672127,-0.124150082305,1,-1,1.0,0.0,0.0,0.0,0
-0.482474862361,-0.264863182706,-0.731290031484,-0.705675081985,1,-1,1.0,0.0,0.0,0.0,0
-0.466397114844,-0.618832926461,-1.19098421727,-0.59964524444,1,-1,1.0,0.0,0.0,0.0,9
-0.879496792752,-0.552992732737,0.299628079761,-0.811533645923,1,-1,1.0,0.0,0.0,0.0,4
0.979600248126,-0.027989951612,-0.23978444013,0.657834324328,1,-1,1.0,0.0,0.0,0.0,3
-0.747984355978,1.07760282173,1.31253683395,2.32983077225,-1,-1,1.0,0.0,0.0,0.0,1
0.645226880369,0.343688507208,-0.0753981600816,0.800880634523,1,-1,1.0,0.0,0.0,0.0,0
0.474790126575,0.243073565419,0.115881771461,-0.779870090859,1,-1,1.0,0.0,0.0,0.0,7
0.805478191045,-0.0157601772109,-0.00147798079958,1.11687107597,1,-1,1.0,0.0,0.0,0.0,3
-0.629918043872,-0.263828544581,-0.633587084123,1.32986525806,1,-1,1.0,0.0,0.0,0.0,0
1.39516275605,1.48789389653,1.8127810857,1.13353264277,1,1,0.0,1.0,0.0,0.0,8
-0.654470843188,-0.383762778875,-0.812650811536,-0.700061211508,1,-1,1.0,0.0,0.0,0.0,9
0.652272645781,0.509817325182,0.38007502433,0.662548351486,1,-1,1.0,0.0,0.0,0.0,7
-0.840299200304,0.472359257812,1.28999409205,1.19835952851,1,-1,1.0,0.0,0.0,0.0,7
0.857629748671,0.701412091231,-0.213114599729,-1.04470004257,1,1,0.0,0.0,1.0,0.0,8
0.424683633828,0.1517613389,-0.311745675394,0.105173072585,1,-1,1.0,0.0,0.0,0.0,0
0.409913021578,0.211254715871,-0.200780670778,0.138245495237,1,-1,1.0,0.0,0.0,0.0,0
-0.809557685144,-0.250590909112,0.63545602878,-0.812086632615,1,-1,1.0,0.0,0.0,0.0,4
-0.477548469824,-0.235444616207,-0.606891723752,-0.430977485872,1,-1,1.0,0.0,0.0,0.0,0
0.472747252022,0.127616838356,1.1450959911,-0.668827444975,1,-1,1.0,0.0,0.0,0.0,9
-0.233520856459,0.499913692297,0.978562630704,-0.197441577893,1,1,0.0,1.0,0.0,0.0,8
-0.661993782318,-0.478016576186,-0.0817015577796,-0.853397680388,1,-1,1.0,0.0,0.0,0.0,3
-1.51796908556,-0.729612208767,-1.68913295641,5.30104456195,-1,-1,1.0,0.0,0.0,0.0,1
2.68506270101,2.25780853555,0.825515183846,0.176369041084,1,1,0.0,1.0,0.0,0.0,2
-0.275230146167,-0.0946037906608,0.381208234884,1.02230189901,1,-1,1.0,0.0,0.0,0.0,3
-0.252157438651,0.0260270349128,0.420448580747,-0.801341143763,1,-1,1.0,0.0,0.0,0.0,3
-0.20559150144,0.338953034644,1.37539948574,-0.214803215604,1,-1,1.0,0.0,0.0,0.0,9
1.92910454095,0.343828433536,0.735157850875,0.0355545891353,1,1,0.0,0.0,0.0,1.0,5
